track_id,sample_id,raw_frame_index,iso1300_mm,iso1400_mm,iso1500_mm,iso1600_mm,iso1800_mm,iso1300_mm_roll,iso1400_mm_roll,iso1500_mm_roll,iso1600_mm_roll,iso1800_mm_roll
8,T8_F001,338,3.85,1.1340000000000001,1.036,0.966,0.868,3.847454545454545,1.148,1.0372727272727273,0.9647272727272728,0.8565454545454544
8,T8_F002,339,3.8360000000000003,1.12,1.008,0.9380000000000001,0.84,3.8464999999999994,1.1468333333333334,1.0383333333333336,0.9648333333333333,0.8586666666666666
8,T8_F003,340,3.85,1.1340000000000001,1.008,0.924,0.8260000000000001,3.8499999999999996,1.149076923076923,1.0413846153846156,0.9670769230769231,0.8604615384615383
8,T8_F004,341,3.8360000000000003,1.1340000000000001,1.036,0.9520000000000001,0.84,3.85,1.1500000000000001,1.044,0.969,0.8619999999999999
8,T8_F005,342,3.864,1.176,1.064,0.98,0.868,3.8481333333333336,1.1489333333333334,1.0416,0.9669333333333333,0.8614666666666665
8,T8_F006,343,3.822,1.1480000000000001,1.036,0.966,0.868,3.8500000000000005,1.148875,1.0438749999999999,0.9677500000000001,0.86275
8,T8_F007,344,3.85,1.1480000000000001,1.05,0.98,0.854,3.8508235294117656,1.1488235294117648,1.044235294117647,0.9684705882352942,0.8630588235294118
8,T8_F008,345,3.864,1.162,1.05,0.98,0.868,3.8500000000000005,1.1472222222222224,1.043,0.9675555555555557,0.8617777777777778
8,T8_F009,346,3.8360000000000003,1.162,1.022,0.966,0.868,3.85,1.1480000000000001,1.0441052631578946,0.9689473684210528,0.862842105263158
8,T8_F010,347,3.85,1.1480000000000001,1.05,0.98,0.868,3.8514000000000004,1.1501000000000001,1.0451,0.9702000000000002,0.8638000000000001
8,T8_F011,348,3.864,1.162,1.05,0.98,0.854,3.8513333333333333,1.1493333333333335,1.0439999999999998,0.9686666666666668,0.8633333333333335
8,T8_F012,349,3.8360000000000003,1.1340000000000001,1.05,0.966,0.882,3.852,1.1513333333333333,1.0453333333333332,0.9700000000000001,0.8639999999999999
8,T8_F013,350,3.892,1.176,1.078,0.994,0.882,3.8546666666666662,1.1533333333333333,1.0473333333333332,0.972,0.8660000000000002
8,T8_F014,351,3.85,1.162,1.078,0.994,0.882,3.8553333333333333,1.1546666666666665,1.0486666666666669,0.974,0.8679999999999999
8,T8_F015,352,3.822,1.1340000000000001,1.008,0.9380000000000001,0.854,3.8553333333333333,1.154,1.0486666666666669,0.9746666666666668,0.8686666666666666
8,T8_F016,353,3.878,1.1480000000000001,1.078,0.98,0.882,3.8566666666666665,1.154,1.0486666666666669,0.9746666666666668,0.8693333333333333
8,T8_F017,354,3.864,1.1480000000000001,1.05,0.98,0.868,3.857999999999999,1.154,1.0493333333333337,0.9746666666666668,0.8700000000000001
8,T8_F018,355,3.8360000000000003,1.12,1.022,0.9520000000000001,0.84,3.8619999999999997,1.1566666666666667,1.0500000000000003,0.9753333333333335,0.8720000000000001
8,T8_F019,356,3.85,1.162,1.064,0.994,0.882,3.860666666666666,1.156,1.0493333333333337,0.9746666666666668,0.8726666666666667
8,T8_F020,357,3.878,1.19,1.064,0.994,0.882,3.860666666666666,1.1546666666666667,1.0493333333333335,0.9746666666666668,0.8720000000000001
8,T8_F021,358,3.85,1.1340000000000001,1.022,0.9380000000000001,0.854,3.861333333333333,1.1566666666666667,1.05,0.9753333333333335,0.8733333333333333
8,T8_F022,359,3.864,1.176,1.064,0.994,0.882,3.7380000000000004,1.1560000000000001,1.0493333333333335,0.9753333333333335,0.8746666666666668
8,T8_F023,360,3.892,1.162,1.05,0.98,0.882,3.7393333333333336,1.1566666666666667,1.0486666666666669,0.9753333333333335,0.8746666666666668
8,T8_F024,361,3.864,1.162,1.036,0.966,0.868,3.737333333333334,1.1546666666666667,1.0466666666666669,0.9740000000000002,0.8746666666666668
8,T8_F025,362,3.8360000000000003,1.12,1.036,0.966,0.854,3.742666666666667,1.1526666666666667,1.044,0.9713333333333333,0.8726666666666667
8,T8_F026,363,3.892,1.176,1.064,0.98,0.882,3.743333333333333,1.1520000000000001,1.0446666666666669,0.9713333333333333,0.8726666666666667
8,T8_F027,364,3.85,1.1480000000000001,1.05,0.966,0.882,3.743333333333333,1.1520000000000001,1.0426666666666666,0.9706666666666667,0.8713333333333333
8,T8_F028,365,3.934,1.204,1.064,0.994,0.896,3.743333333333333,1.152,1.0433333333333334,0.9713333333333333,0.8720000000000001
8,T8_F029,366,3.8360000000000003,1.1480000000000001,1.036,0.966,0.882,3.744666666666667,1.1540000000000001,1.0446666666666666,0.9726666666666666,0.8746666666666668
