model_id,subgroup_type,subgroup_id,sample_count,mae_mm,rmse_mm,median_absolute_error_mm,p90_absolute_error_mm,maximum_absolute_error_mm,signed_bias_mm,r_squared,pearson_correlation,spearman_correlation
cohort_b_fixed_thermal_shape_ridge,x_region,20_40mm,43,0.13181525944499983,0.16374932034721404,0.1171119196345558,0.22739413805820546,0.4877470154318163,0.006685526417844321,-0.06118785933931781,-0.05833881695660109,-0.04492939679048139
cohort_b_fixed_thermal_shape_ridge,x_region,40_60mm,64,0.10104478190678305,0.12565252582477288,0.09213053639171487,0.18359201520781937,0.3518259895890692,0.010158641197035582,-0.030964496235849515,-0.004153716645256161,0.0040755114639740506
cohort_b_fixed_thermal_shape_ridge,x_region,60_80mm,57,0.10786548045155944,0.13506732081317607,0.0844749154170451,0.2171664200914049,0.35250817311763327,0.020503855578988494,-0.07834024606539303,-0.04330907912000652,-0.046831955947460834
cohort_b_fixed_thermal_shape_ridge,x_region,80_100mm,69,0.1012436631266194,0.13595245303110895,0.08153713972943466,0.25436718201254493,0.40446340752544474,0.02651763298434991,-0.004465006368932656,0.1848114559986839,0.18865270317978405
cohort_b_fixed_thermal_shape_ridge,tile_boundary,away,231,0.10850281151962377,0.13890917780239861,0.09021432461659484,0.21859824363653735,0.4877470154318163,0.016926407116107014,-0.03172078633824782,0.050025302550386605,0.08079268074112131
cohort_b_fixed_thermal_shape_ridge,tile_boundary,near,2,0.10245893930582106,0.1032845937843179,0.10245893930582106,0.11288576837756122,0.11549247564549625,0.013033536339675189,-0.9657356925857825,,
cohort_b_sem_summary_ridge,x_region,20_40mm,43,0.12927218972867546,0.15973321645883118,0.11231583355078167,0.2249380535250417,0.4374409882626914,0.02339939841783464,-0.009772954137601042,0.11435249883622545,0.0911424906321194
cohort_b_sem_summary_ridge,x_region,40_60mm,64,0.09857548286679257,0.12503537528709516,0.0850289735392325,0.188288654192551,0.34745518558812694,0.02381979780247176,-0.020862068574404757,0.1324454081516328,0.14138361398898744
cohort_b_sem_summary_ridge,x_region,60_80mm,57,0.10758964065924602,0.13733015497504958,0.08333380943671598,0.23006799540181516,0.3680210526737939,0.03705644093105208,-0.11477459801057077,-0.08058782425984576,-0.0973262032596712
cohort_b_sem_summary_ridge,x_region,80_100mm,69,0.11002635356404876,0.14118992098748062,0.08295738861875912,0.23682708752321072,0.4216149317345065,0.03563970123294591,-0.08334829843810443,0.005865539892474974,-0.08849832405605985
cohort_b_sem_summary_ridge,tile_boundary,away,231,0.1099389498160566,0.13983915515245185,0.08750319197100509,0.22511770149209043,0.4374409882626914,0.029895810137113565,-0.04558147948412006,0.06607011263524977,0.06441041820490018
cohort_b_sem_summary_ridge,tile_boundary,near,2,0.098032783897543,0.12445524712603556,0.098032783897543,0.15937083378372816,0.17470534625527445,0.098032783897543,-1.8541740604622023,,
cohort_b_sem_summary_upstream_ridge,x_region,20_40mm,43,0.12726944752360783,0.15706387601722002,0.11161957486649754,0.22488251562324438,0.4306126953092019,0.018069914820348833,0.02369417148023445,0.2852359467116702,0.24495960199717923
cohort_b_sem_summary_upstream_ridge,x_region,40_60mm,64,0.09835449452882412,0.12333322208821793,0.08483060172886042,0.18558234354175193,0.3418941147122124,0.019948513051660278,0.00674349345290115,0.18740350068269562,0.16535586400461008
cohort_b_sem_summary_upstream_ridge,x_region,60_80mm,57,0.11120535339347286,0.14157269271556885,0.08878857888046188,0.2437884483280316,0.3752499299044886,0.035546498175640456,-0.18471593125040986,-0.11465336804409329,-0.12493923195672078
cohort_b_sem_summary_upstream_ridge,x_region,80_100mm,69,0.11106896725657447,0.1422580384444452,0.08903223869695409,0.22858098257174467,0.42420122853332753,0.027073038659483732,-0.09980160020400608,-0.08823871787370147,-0.13066474270209333
cohort_b_sem_summary_upstream_ridge,tile_boundary,away,231,0.11005446193935782,0.13960276887386125,0.09154025189453618,0.22139709705795096,0.4306126953092019,0.024245645742845573,-0.042049532911121235,0.040897520790868155,0.04602357502078697
cohort_b_sem_summary_upstream_ridge,tile_boundary,near,2,0.1735785347499072,0.1886182872190375,0.1735785347499072,0.2326234697605573,0.24738470351321984,0.1735785347499072,-5.555738556090017,,
cohort_b_thermal_plus_sem_summary_ridge,x_region,20_40mm,43,0.1299848775405504,0.16440906494803176,0.10879444170557429,0.22528852950288,0.5001324097394777,0.030226489694989003,-0.06975611884363908,0.0208925980048335,0.0611643889080503
cohort_b_thermal_plus_sem_summary_ridge,x_region,40_60mm,64,0.09998851734629507,0.12650121825283636,0.08509293378479083,0.18462301941157055,0.36791908521723937,0.027029680460711976,-0.04493837631870545,0.10440975965881501,0.11828141698252778
cohort_b_thermal_plus_sem_summary_ridge,x_region,60_80mm,57,0.1105567915400417,0.14054038544603456,0.08556536270939985,0.23725834759490658,0.361258003550899,0.03415462033947344,-0.1675017072876277,-0.09058213038872484,-0.10844271598630033
cohort_b_thermal_plus_sem_summary_ridge,x_region,80_100mm,69,0.10752857263356067,0.13970587861742725,0.08390425593438233,0.25217446826825685,0.4171359902997235,0.032402260509800856,-0.06069391428741233,0.1185086070000432,0.045601118258448675
cohort_b_thermal_plus_sem_summary_ridge,tile_boundary,away,231,0.11044177528398597,0.14153352952343276,0.09093627061358633,0.23107953095081024,0.5001324097394777,0.03054702040774854,-0.0710727573515979,0.0720157197694476,0.0769631431119405
cohort_b_thermal_plus_sem_summary_ridge,tile_boundary,near,2,0.09888669165192726,0.12589912382745566,0.09888669165192726,0.16122518233449762,0.1768098050051402,0.07792311335321295,-1.9207840428169263,,
cohort_b_training_mean,x_region,20_40mm,43,0.12709564958496264,0.1624636548038916,0.11728693215339248,0.23073986784660774,0.4680670678466077,0.03356604459079362,-0.044589601894171604,,
cohort_b_training_mean,x_region,40_60mm,64,0.10214648571165189,0.130345919519061,0.08362199999999997,0.20156202713864302,0.3525890678466076,0.04093534909660759,-0.1094203904730573,,
cohort_b_training_mean,x_region,60_80mm,57,0.108276273870517,0.1414600293545912,0.08181306784660758,0.24666786784660763,0.3844450678466075,0.05561569942555496,-0.1828310907940771,,
cohort_b_training_mean,x_region,80_100mm,69,0.11643319652857931,0.14983405031067396,0.08579506784660762,0.2665778678466076,0.44417506784660765,0.06363437219443366,-0.2200615880888246,,
cohort_b_training_mean,tile_boundary,away,231,0.11281728220255653,0.14550753302175629,0.08941293215339241,0.24109306784660767,0.4680670678466077,0.04969849641803615,-0.13206471499995587,,
cohort_b_training_mean,tile_boundary,near,2,0.07366699999999998,0.10290971190148993,0.07366699999999998,0.13115345427728606,0.14552506784660757,0.07185806784660759,-0.9514919160428854,,
cohort_b_x_only,x_region,20_40mm,43,0.1275860314888934,0.1643706107199951,0.10806020847314546,0.23999172312534808,0.47550388231919516,0.04166452836066729,-0.06925575914690896,-0.0458021674207766,-0.0126859473290771
cohort_b_x_only,x_region,40_60mm,64,0.10284520053210157,0.13152385954034707,0.08524055481031573,0.20480369765496612,0.35760069665193106,0.044703648306789585,-0.12956272584369044,0.042096466794075374,0.09389703659414371
cohort_b_x_only,x_region,60_80mm,57,0.10801611297222753,0.14054389692860011,0.08176483961286796,0.24589541703481457,0.38078011674086965,0.05350974114805309,-0.16756004942314395,0.06916129901700463,0.029849295105613443
cohort_b_x_only,x_region,80_100mm,69,0.11358365340743334,0.14637810968223094,0.09157447081922121,0.25785671640947055,0.4358927399096658,0.0545311939749071,-0.1644289222662918,-0.08032275548946369,-0.09498406002631196
cohort_b_x_only,tile_boundary,away,231,0.11217777315446749,0.14493873671634627,0.08971929276614787,0.24244080775344223,0.47550388231919516,0.04904105429716902,-0.12323141726765208,0.07935767098071511,0.10107895901218805
cohort_b_x_only,tile_boundary,near,2,0.07470855696240009,0.1013022109403641,0.07470855696240009,0.12944147624432017,0.1431247060648002,0.06841614910240013,-0.8910015283898303,,
