reviewer_id,review_session_id,review_round,review_order,sample_id,track_id,segment_frame_index,raw_thermal_frame,x_actual_mm,human_measurability,manual_y_left_mm,manual_y_right_mm,manual_width_mm,human_confidence,preferred_leveling_method,preferred_boundary_candidate,review_profile_method,review_aggregation_half_width_mm,manual_boundary_initialization,reviewer_inspection_confirmed,primary_unmeasurable_reason,review_notes,height_valid_fraction,zero_valid_profile,automatic_label_status,automatic_label_confidence,review_timestamp,app_version,source_data_version,pilot_selection_version,diagnostic_role,source_file,existing_label_status,existing_label_confidence,method_disagreement_mm,neighbor_continuity_error_mm,selection_categories,selection_seed,selection_source,automatic_acceptance_category,positive_control_status,expected_review_role,notes,thermal_x_center_mm,height_x_start_mm,height_x_end_mm,height_x_start_index,height_x_end_index,aggregation_half_width_mm,y_left_mm,y_right_mm,width_mm,centerline_mm,local_height_mm,left_boundary_confidence,right_boundary_confidence,width_confidence,leveling_method_id,boundary_method_id,parameter_set_id,label_status,exclusion_reason,base_support_confidence,aggregation_sensitivity_mm,method_sensitivity_mm,pilot_review_order,pilot_sample_id,pilot_track_id,pilot_segment_frame_index,pilot_raw_thermal_frame,pilot_x_actual_mm,pilot_height_valid_fraction,pilot_existing_label_status,pilot_existing_label_confidence,pilot_method_disagreement_mm,pilot_neighbor_continuity_error_mm,pilot_selection_categories,pilot_selection_seed,pilot_selection_source,pilot_automatic_acceptance_category,pilot_positive_control_status,pilot_zero_valid_profile,pilot_expected_review_role,pilot_pilot_selection_version,pilot_notes,manual_reviewer_id,manual_review_session_id,manual_review_round,manual_review_order,manual_sample_id,manual_track_id,manual_segment_frame_index,manual_raw_thermal_frame,manual_x_actual_mm,manual_human_measurability,manual_manual_y_left_mm,manual_manual_y_right_mm,manual_manual_width_mm,manual_human_confidence,manual_preferred_leveling_method,manual_preferred_boundary_candidate,manual_review_profile_method,manual_review_aggregation_half_width_mm,manual_manual_boundary_initialization,manual_reviewer_inspection_confirmed,manual_primary_unmeasurable_reason,manual_review_notes,manual_height_valid_fraction,manual_zero_valid_profile,manual_automatic_label_status,manual_automatic_label_confidence,manual_review_timestamp,manual_app_version,manual_source_data_version,manual_pilot_selection_version,method_id,left_boundary_absolute_error_mm,right_boundary_absolute_error_mm,width_absolute_error_mm,signed_width_error_mm,height_valid_fraction_category,manually_reviewable_samples,evaluable_predictions,coverage,left_boundary_mae_mm,right_boundary_mae_mm,boundary_mae_mm,width_mae_mm,median_width_absolute_error_mm,p90_width_absolute_error_mm,true_measurable_count,automatically_accepted_count,accepted_precision,measurable_recall,false_acceptance_unmeasurable,confidence_error_correlation,repeated_apparent_cap_flag,near_one_pixel_width_count
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,31.0,T21_F008,21,8.0,337.0,21.7,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,8.012820512807692e-05,False,unmeasurable,0.0,2026-07-24T15:25:54.680420+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot.backup_20260724T112804338592.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,32.0,T21_F027,21,27.0,356.0,25.5,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,0.0026666666666648,False,unmeasurable,0.0011893,2026-07-24T15:27:59.637780+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot.backup_20260724T112804338592.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,31.0,T21_F008,21,8.0,337.0,21.7,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,8.012820512807692e-05,False,unmeasurable,0.0,2026-07-24T15:25:54.680420+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot.backup_20260724T112938964772.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,32.0,T21_F027,21,27.0,356.0,25.5,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,0.0026666666666648,False,unmeasurable,0.0011893,2026-07-24T15:28:04.335360+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot.backup_20260724T112938964772.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,33.0,T21_F043,21,43.0,372.0,28.7,unmeasurable,,,,medium,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,missing_both_boundaries,,0.48891666666664,False,candidate_ok,0.385203,2026-07-24T15:28:49.698891+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot.backup_20260724T112938964772.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,31.0,T21_F008,21,8.0,337.0,21.7,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,8.012820512807692e-05,False,unmeasurable,0.0,2026-07-24T15:25:50.623505+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot_events.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,31.0,T21_F008,21,8.0,337.0,21.7,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,8.012820512807692e-05,False,unmeasurable,0.0,2026-07-24T15:25:54.680420+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot_events.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,32.0,T21_F027,21,27.0,356.0,25.5,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,0.0026666666666648,False,unmeasurable,0.0011893,2026-07-24T15:27:59.637780+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot_events.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,32.0,T21_F027,21,27.0,356.0,25.5,unmeasurable,,,,high,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,central_region_missing,,0.0026666666666648,False,unmeasurable,0.0011893,2026-07-24T15:28:04.335360+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot_events.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen,6e1da4c8-0f57-4368-a7b9-95d76a02da17,pilot_1,33.0,T21_F043,21,43.0,372.0,28.7,unmeasurable,,,,medium,none_or_unclear,none,local_side_linear_v1,0.05,manual_entry,True,missing_both_boundaries,,0.48891666666664,False,candidate_ok,0.385203,2026-07-24T15:28:45.160752+00:00,height-review-app-v2,official-height-mapping-and-candidates-v1,height_pilot_v2,post_hoc_historical_human_diagnostic,outputs/human_review/height_manual_review_pilot_events.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
